anime_id,title,title_japanese,image_url,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,studio,genre
6199,Mai-Otome Zwei Special,舞-乙HiME ZWEI,https://myanimelist.cdn-dena.com/images/anime/9/13750.jpg,Special,Original,1,Finished Airing,"Mar 4, 2008",4 min.,G - All Ages,6.86,1065,4079.0,6172,Sunrise,Magic
2757,Juuni Senshi Bakuretsu Eto Ranger,十二戦支　爆烈エトレンジャー,https://myanimelist.cdn-dena.com/images/anime/12/21253.jpg,TV,Original,39,Finished Airing,"Apr 7, 1995 to Jan 26, 1996",25 min. per ep.,PG-13 - Teens 13 or older,6.95,325,3738.0,7994,Shaft,"Action, Fantasy, Comedy"
13271,Hunter x Hunter Movie 1: Phantom Rouge,劇場版 HUNTER×HUNTER 緋色の幻影（ファントム・ルージュ）,https://myanimelist.cdn-dena.com/images/anime/6/53073.jpg,Movie,Manga,1,Finished Airing,"Jan 12, 2013",1 hr. 37 min.,PG-13 - Teens 13 or older,7.37,38086,2150.0,1283,Madhouse,"Action, Adventure, Super Power, Shounen"
20385,Eguchi Hisashi no Kotobuki Gorou Show,江口寿史の寿五郎ショウ,https://myanimelist.cdn-dena.com/images/anime/13/54143.jpg,OVA,Manga,4,Finished Airing,"May 21, 1991 to Nov 21, 1991",7 min. per ep.,R+ - Mild Nudity,5.85,80,7688.0,9519,"Studio Pierrot, Kyoto Animation","Comedy, Ecchi, Parody"
18639,Rinne no Lagrange Season 2 Specials,輪廻のラグランジェ season 2 ピクチャードラマ,https://myanimelist.cdn-dena.com/images/anime/6/60967.jpg,Special,Original,6,Finished Airing,"Sep 21, 2012 to Feb 22, 2013",3 min. per ep.,PG-13 - Teens 13 or older,6.39,635,6048.0,6811,Xebec,Comedy
8098,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,蒼穹のファフナー Dead Aggressor ~Heaven and Earth~,https://myanimelist.cdn-dena.com/images/anime/5/31163.jpg,Movie,Original,1,Finished Airing,"Dec 25, 2010",1 hr. 30 min.,PG-13 - Teens 13 or older,7.44,3689,1871.0,3693,Xebec,"Action, Drama, Mecha, Military, Sci-Fi"
34312,Saimin Class,催眠クラス,https://myanimelist.cdn-dena.com/images/anime/5/82641.jpg,OVA,Visual novel,2,Finished Airing,"Dec 23, 2016 to Feb 10, 2017",18 min. per ep.,Rx - Hentai,6.21,981,,6361,BreakBottle,Hentai
27633,Gekkan Shoujo Nozaki-kun Specials,月刊少女野崎くん ミニOVA,https://myanimelist.cdn-dena.com/images/anime/9/66871.jpg,Special,4-koma manga,6,Finished Airing,"Sep 24, 2014 to Feb 25, 2015",3 min. per ep.,PG-13 - Teens 13 or older,7.91,39921,676.0,1146,Doga Kobo,"Comedy, Romance, School"
31640,Fuusen Inu Tinny 2nd Season,ふうせんいぬティニー 第2シリーズ,https://myanimelist.cdn-dena.com/images/anime/3/76252.jpg,TV,Picture book,26,Finished Airing,"Sep 25, 2015 to Mar 25, 2016",5 min. per ep.,G - All Ages,5.57,7,10145.0,12388,Steve N&#039; Steven,"Adventure, Kids"
17469,Kouchuu Ouja Mushiking: Greatest Champion e no Michi,劇場版甲虫王者ムシキング グレイテストチャンピオンへの道,https://myanimelist.cdn-dena.com/images/anime/7/46677.jpg,Movie,Card game,1,Finished Airing,"Dec 17, 2005",50 min.,G - All Ages,5.88,25,10984.0,11656,TMS Entertainment,Game
